observed,predicted,low,high,anomalous,err,threshold
756.0829987239838,755.4609336051941,,,,,
755.1599987583161,755.1978879699707,,,,,
754.685001285553,754.8950103931427,,,,,
754.1399997806549,754.5781302165985,,,,,
753.816000246048,754.2351756153107,,,,,
753.1379994487762,753.9927498168945,,,,,
752.9499999771118,753.7094818572998,,,,,
752.9799987163544,753.4930169086457,,,,,
753.0159989967347,753.3603254642487,,,,,
753.5719993419648,753.3447627029419,,,,,
754.1919991893768,753.4696712722779,,,,,
754.6589985923767,753.7073926753998,,,,,
755.2880007514954,754.0055120582581,,,,,
755.883,754.3177775039674,754.2225039039673,754.4130511039673,False,0.0009743482572388911,0.0019
756.448,755.2899913024903,755.1947177024903,755.3852649024902,False,0.0005333173260579416,0.0019
757.108,756.8288725280762,756.7335989280762,756.9241461280762,False,3.098612116383193e-05,0.0019
757.497,757.3564342956544,757.2611606956543,757.4517078956543,False,7.858158722321783e-06,0.0019
757.675,757.8176981620788,757.7224245620789,757.9129717620789,False,8.09839227348093e-06,0.0019
758.14,757.9246708507538,757.8293972507538,758.0199444507538,False,1.844028799605119e-05,0.0019
758.091,758.2984401378632,758.2031665378631,758.3937137378632,False,1.7113846613095594e-05,0.0019
757.93,758.212072341919,758.116798741919,758.3073459419189,False,3.1643394017761935e-05,0.0019
757.543,757.887489988327,757.792216388327,757.9827635883271,False,4.719709408949263e-05,0.0019
756.84,757.5434683799743,757.4481947799744,757.6387419799744,False,0.0001968118360378269,0.0019
756.387,756.5319815483093,756.4367079483094,756.6272551483094,False,8.359638881928024e-06,0.0019
755.983,756.1304611110687,756.0351875110688,756.2257347110688,False,8.648027343362022e-06,0.0019
755.329,755.7297327098846,755.6344591098847,755.8250063098847,False,6.386628238956235e-05,0.0019
754.912,755.2255853214264,755.1303117214264,755.3208589214264,False,3.910871096717085e-05,0.0019
754.55,754.5750338039398,754.4797602039398,754.6703074039399,False,2.492388528013731e-07,0.0019
753.997,754.2656645202637,754.1703909202637,754.3609381202637,False,2.870666130576471e-05,0.0019
753.526,753.8576254768371,753.7623518768372,753.9528990768372,False,4.3737889730605846e-05,0.0019
753.371,753.200683872223,753.1054102722229,753.2959574722229,False,1.1536487496169235e-05,0.0019
753.396,753.1092500343323,753.0139764343323,753.2045236343323,False,3.270158475594281e-05,0.0019
753.626,753.2841435508728,753.1888699508728,753.3794171508728,False,4.647823259513016e-05,0.0019
753.764,753.5147724952698,753.4194988952698,753.6100460952698,False,2.4703244061239064e-05,0.0019
754.023,753.8714756469727,753.7762020469727,753.9667492469727,False,9.131180486874442e-06,0.0019
754.614,754.0952362937927,753.9999626937928,754.1905098937928,False,0.00010702893872329375,0.0019
755.089,754.5140111618042,754.4187375618042,754.6092847618042,False,0.00013148641327852872,0.0019
755.725,755.4043553314209,755.309081731421,755.499628931421,False,4.088933964637942e-05,0.0019
756.671,755.9360715522766,755.8407979522766,756.0313451522767,False,0.0002148088486306328,0.0019
756.972,757.1252165546417,757.0299429546418,757.2204901546418,False,9.336270688587583e-06,0.0019
757.882,757.367197019577,757.2719234195771,757.4624706195771,False,0.0001054008602688761,0.0019
758.501,758.0922925796509,757.9970189796509,758.187566179651,False,6.643349422663815e-05,0.0019
758.843,758.9550619392395,758.8597883392396,759.0503355392395,False,4.994342452850018e-06,0.0019
